FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2019-02-15,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1178,STL,"St. Louis, MO",PIT,"Pittsburgh, PA",1605,1612.0,7.0,32.0,1644.0,1855.0,6.0,1835,1901.0,26.0,0.0,,0.0,90.0,109.0,71.0,554.0,0.0,0.0,19.0,0.0,7.0
2021-12-20,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4008,LAX,"Los Angeles, CA",SLC,"Salt Lake City, UT",2048,2057.0,9.0,8.0,2105.0,2327.0,7.0,2341,2334.0,-7.0,0.0,,0.0,113.0,97.0,82.0,590.0,,,,,
2019-03-09,Republic Airline,Republic Airline: YX,YX,20452,6110,CLT,"Charlotte, NC",LGA,"New York, NY",1515,1515.0,0.0,19.0,1534.0,1656.0,7.0,1710,1703.0,-7.0,0.0,,0.0,115.0,108.0,82.0,544.0,,,,,
2020-02-28,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5152,CLT,"Charlotte, NC",HPN,"White Plains, NY",2037,2031.0,-6.0,41.0,2112.0,2235.0,3.0,2239,2238.0,-1.0,0.0,,0.0,122.0,127.0,83.0,564.0,,,,,
2019-04-18,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,351,MCI,"Kansas City, MO",CLT,"Charlotte, NC",703,656.0,-7.0,40.0,736.0,1028.0,11.0,1021,1039.0,18.0,0.0,,0.0,138.0,163.0,112.0,808.0,0.0,0.0,18.0,0.0,0.0
2019-10-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1723,SDF,"Louisville, KY",MDW,"Chicago, IL",1610,1604.0,-6.0,9.0,1613.0,1601.0,29.0,1625,1630.0,5.0,0.0,,0.0,75.0,86.0,48.0,271.0,,,,,
2020-11-26,Republic Airline,Republic Airline: YX,YX,20452,5818,LGA,"New York, NY",RDU,"Raleigh/Durham, NC",1345,1338.0,-7.0,16.0,1354.0,1504.0,3.0,1531,1507.0,-24.0,0.0,,0.0,106.0,89.0,70.0,431.0,,,,,
2021-10-17,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,3005,MYR,"Myrtle Beach, SC",LBE,"Latrobe, PA",1719,1711.0,-8.0,12.0,1723.0,1841.0,6.0,1850,1847.0,-3.0,0.0,,0.0,91.0,96.0,78.0,455.0,,,,,
2019-05-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2168,BNA,"Nashville, TN",FLL,"Fort Lauderdale, FL",1725,1723.0,-2.0,7.0,1730.0,2022.0,3.0,2030,2025.0,-5.0,0.0,,0.0,125.0,122.0,112.0,793.0,,,,,
2022-04-12,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1007,ATL,"Atlanta, GA",RIC,"Richmond, VA",1805,1759.0,-6.0,19.0,1818.0,1926.0,7.0,1935,1933.0,-2.0,0.0,,0.0,90.0,94.0,68.0,481.0,,,,,
